name,wins,year
Abdullah Avcı,NA,1967
Abdullah Ercan,NA,1967
Abdullah Matay,NA,1967
Adem Çağlayan,NA,1967
Adnan Dinçer,NA,1967
Adnan Örnek,NA,1967
Adnan Şentürk,NA,1967
Adolf Remy,NA,1967
Ahmet Akcan,NA,1967
Ahmet Asena,NA,1967
Ahmet Birdal,NA,1967
Ahmet Kazım Ertem,NA,1967
Ahmet Özen,NA,1967
Ahmet Suat Özyazıcı,NA,1967
Ahmet Ziya Yüce,NA,1967
Akın Barhan,NA,1967
Abdullah Avcı,NA,1968
Abdullah Ercan,NA,1968
Abdullah Matay,NA,1968
Adem Çağlayan,NA,1968
Adnan Dinçer,NA,1968
Adnan Örnek,NA,1968
Adnan Şentürk,NA,1968
Adolf Remy,NA,1968
Ahmet Akcan,NA,1968
Ahmet Asena,NA,1968
Ahmet Birdal,NA,1968
Ahmet Kazım Ertem,NA,1968
Ahmet Özen,NA,1968
Ahmet Suat Özyazıcı,NA,1968
Ahmet Ziya Yüce,NA,1968
Akın Barhan,NA,1968
Abdullah Avcı,NA,1969
Abdullah Ercan,NA,1969
Abdullah Matay,NA,1969
Adem Çağlayan,NA,1969
Adnan Dinçer,NA,1969
Adnan Örnek,NA,1969
Adnan Şentürk,NA,1969
Adolf Remy,NA,1969
Ahmet Akcan,NA,1969
Ahmet Asena,NA,1969
Ahmet Birdal,NA,1969
Ahmet Kazım Ertem,NA,1969
Ahmet Özen,NA,1969
Ahmet Suat Özyazıcı,NA,1969
Ahmet Ziya Yüce,NA,1969
Akın Barhan,NA,1969
Abdullah Avcı,NA,1970
Abdullah Ercan,NA,1970
Abdullah Matay,NA,1970
Adem Çağlayan,NA,1970
Adnan Dinçer,NA,1970
Adnan Örnek,NA,1970
Adnan Şentürk,NA,1970
Adolf Remy,NA,1970
Ahmet Akcan,NA,1970
Ahmet Asena,NA,1970
Ahmet Birdal,NA,1970
Ahmet Kazım Ertem,NA,1970
Ahmet Özen,NA,1970
Ahmet Suat Özyazıcı,NA,1970
Ahmet Ziya Yüce,NA,1970
